seconds,small_cars,large_cars,car_flow,car_density,car_speed
414,6.12,0.04,6,0.155,38.70967741935484
415,5.72,0.24,3,0.1549999999999999,19.354838709677434
416,4.8,0.36,2,0.1379999999999999,14.492753623188417
417,4.92,0.56,2,0.151,13.245033112582782
418,4.8,0.16,4,0.128,31.25
419,4.12,0.28,7,0.1169999999999999,59.82905982905988
420,2.48,0.36,2,0.08,25.0
421,4.36,0.04,4,0.111,36.03603603603604
422,1.44,1.28,4,0.1,40.0
423,0.64,0.64,5,0.048,104.16666666666667
424,0.88,1.12,6,0.078,76.92307692307692
425,3.28,1.28,6,0.146,41.09589041095891
426,5.2,0.36,4,0.148,27.027027027027028
427,1.5238095238095235,1.2857142857142858,4,0.1023809523809523,39.0697674418605
